Product Name,Product URL,Product Price,Product Discount
HP 200 APU Dual Core A6 7th Gen - (4 GB/1 TB HDD/DOS) 245 G7 Notebook Laptop,/hp-200-apu-dual-core-a6-7th-gen-4-gb-1-tb-hdd-dos-245-g7-notebook-laptop/p/itmfgqy9gyqkqamj?pid=COMFGYR5TNBZK2AT&srno=s_1_12&otracker=search&otracker1=search&lid=LSTCOMFGYR5TNBZK2ATR9IQPM&fm=organic&iid=adbda494-b837-42cb-9298-95fc3b70b707.COMFGYR5TNBZK2AT.SEARCH&ssid=2b9mi4bjps0000001574236587185&qH=2540d50c190374b3,"₹19,750",13% off
HP 15 Pentium Quad Core - (4 GB/1 TB HDD/Windows 10 Home) 15-da0295TU Laptop,/hp-15-pentium-quad-core-4-gb-1-tb-hdd-windows-10-home-15-da0295tu-laptop/p/itmfavjrvv7rrfrt?pid=COMFAVJRTYR89ZRF&srno=s_1_13&otracker=search&otracker1=search&lid=LSTCOMFAVJRTYR89ZRFVOJH3H&fm=organic&iid=9fdec0bb-8fbd-40fe-8bc9-e815ee48099d.COMFAVJRTYR89ZRF.SEARCH&ssid=2b9mi4bjps0000001574236587185&qH=2540d50c190374b3,"₹24,706",10% off
HP 15q APU Dual Core E2 - (4 GB/1 TB HDD/Windows 10 Home) 15q-dy0001AU Laptop,/hp-15q-apu-dual-core-e2-4-gb-1-tb-hdd-windows-10-home-15q-dy0001au-laptop/p/itmfc62ythnmzy22?pid=COMFC62YFSGG5BGT&srno=s_1_14&otracker=search&otracker1=search&lid=LSTCOMFC62YFSGG5BGTA4VFB0&fm=organic&iid=79e25f71-b299-4d8e-acbf-dc635a6c32f1.COMFC62YFSGG5BGT.SEARCH&ssid=2b9mi4bjps0000001574236587185&qH=2540d50c190374b3,"₹22,990",24% off
HP Chromebook Celeron Dual Core - (4 GB/64 GB EMMC Storage/Chrome OS) 14-ca002TU Laptop,/hp-chromebook-celeron-dual-core-4-gb-64-gb-emmc-storage-chrome-os-14-ca002tu-laptop/p/itme4267dec5bb4e?pid=COMFJGZNUZWYTCT5&srno=s_1_15&otracker=search&otracker1=search&lid=LSTCOMFJGZNUZWYTCT5NP8T3Q&fm=organic&iid=5b239b16-63a0-4cbe-837d-34634bacfe62.COMFJGZNUZWYTCT5.SEARCH&ssid=2b9mi4bjps0000001574236587185&qH=2540d50c190374b3,"₹22,990",14% off
HP G6 APU Dual Core A6 - (4 GB/1 TB HDD/DOS) 245 G6 Laptop,/hp-g6-apu-dual-core-a6-4-gb-1-tb-hdd-dos-245-laptop/p/itmfhbwsgpcb5mnm?pid=COMFHBWSHN4JQGKN&srno=s_1_16&otracker=search&otracker1=search&lid=LSTCOMFHBWSHN4JQGKN2G8BIH&fm=organic&iid=0590b19f-ea07-45ff-b32a-41f055bd152f.COMFHBWSHN4JQGKN.SEARCH&ssid=2b9mi4bjps0000001574236587185&qH=2540d50c190374b3,"₹20,000",16% off
HP 15 APU Dual Core A9 - (4 GB/1 TB HDD/Windows 10 Home) 15-bw519AU Laptop,/hp-15-apu-dual-core-a9-4-gb-1-tb-hdd-windows-10-home-15-bw519au-laptop/p/itmf5zqy9aenw6e6?pid=COMF5ZQYMEMZ5XPG&srno=s_1_17&otracker=search&otracker1=search&lid=LSTCOMF5ZQYMEMZ5XPGV7Z1TW&fm=organic&iid=4e4d2ff9-fefb-4c15-b1fc-a9a016f740b2.COMF5ZQYMEMZ5XPG.SEARCH&ssid=2b9mi4bjps0000001574236587185&qH=2540d50c190374b3,"₹24,966",13% off
HP 15 APU Dual Core A4 - (4 GB/1 TB HDD/Windows 10 Home) 15-db0209au Laptop,/hp-15-apu-dual-core-a4-4-gb-1-tb-hdd-windows-10-home-15-db0209au-laptop/p/itmcc4db469345f9?pid=COMFCUPMRCFUBUNW&srno=s_1_18&otracker=search&otracker1=search&lid=LSTCOMFCUPMRCFUBUNWGJFVCG&fm=organic&iid=e6f98164-f062-43a1-8cd7-2db3cc55b1bf.COMFCUPMRCFUBUNW.SEARCH&ssid=2b9mi4bjps0000001574236587185&qH=2540d50c190374b3,"₹21,990",18% off
HP 15 APU Dual Core E2 - (4 GB/1 TB HDD/Windows 10 Home) 15-bw548AU Laptop,/hp-15-apu-dual-core-e2-4-gb-1-tb-hdd-windows-10-home-15-bw548au-laptop/p/itmf8ccgwqjjheye?pid=COMF8CCGMNXYMCEF&srno=s_1_19&otracker=search&otracker1=search&lid=LSTCOMF8CCGMNXYMCEFWFJIG0&fm=organic&iid=7af75333-0285-4482-8ad0-62cb3c5e60d7.COMF8CCGMNXYMCEF.SEARCH&ssid=2b9mi4bjps0000001574236587185&qH=2540d50c190374b3,"₹21,990",10% off
HP HP Notebook Celeron Dual Core 7th Gen - (4 GB/1 TB HDD/DOS) 250 G6 Laptop,/hp-notebook-celeron-dual-core-7th-gen-4-gb-1-tb-hdd-dos-250-g6-laptop/p/itmf65ccaekdrsch?pid=COMF64K8YXTZRPHN&srno=s_1_20&otracker=search&otracker1=search&lid=LSTCOMF64K8YXTZRPHNBRXSLQ&fm=organic&iid=8f54dcf2-c88c-448a-a012-e02b8863c638.COMF64K8YXTZRPHN.SEARCH&ssid=2b9mi4bjps0000001574236587185&qH=2540d50c190374b3,"₹19,990",13% off
HP 15 Core i3 7th Gen - (4 GB/1 TB HDD/Windows 10 Home) 15-da0326tu Laptop,/hp-15-core-i3-7th-gen-4-gb-1-tb-hdd-windows-10-home-15-da0326tu-laptop/p/itmf8gyusqjh8gxk?pid=COMF8GYUC9YVYESM&srno=s_1_21&otracker=search&otracker1=search&lid=LSTCOMF8GYUC9YVYESMMKS4X5&fm=organic&iid=d253f753-a456-4f46-ace1-603d87d9f374.COMF8GYUC9YVYESM.SEARCH&ssid=2b9mi4bjps0000001574236587185&qH=2540d50c190374b3,"₹29,990",24% off
HP 14q Core i3 7th Gen - (4 GB/1 TB HDD/Windows 10 Home) 14q-CS0005TU Thin and Light Laptop,/hp-14q-core-i3-7th-gen-4-gb-1-tb-hdd-windows-10-home-14q-cs0005tu-thin-light-laptop/p/itmfb4fw3qzgyyhr?pid=COMFB4FWSBFFFXSR&srno=s_1_22&otracker=search&otracker1=search&lid=LSTCOMFB4FWSBFFFXSRQJBU37&fm=organic&iid=30d451ae-2471-44a7-9360-eafa878ae564.COMFB4FWSBFFFXSR.SEARCH&ssid=2b9mi4bjps0000001574236587185&qH=2540d50c190374b3,"₹27,990",24% off
HP DI Core i3 7th Gen - (4 GB/1 TB HDD/Windows 10 Home) 15-di0002tu Laptop,/hp-di-core-i3-7th-gen-4-gb-1-tb-hdd-windows-10-home-15-di0002tu-laptop/p/itm12e90286edecb?pid=COMFM3TYNCZNPQTS&srno=s_1_23&otracker=search&otracker1=search&lid=LSTCOMFM3TYNCZNPQTSSGK1A0&fm=organic&iid=f56e834d-4402-40bb-b3e8-1c5fbecd0ad5.COMFM3TYNCZNPQTS.SEARCH&ssid=2b9mi4bjps0000001574236587185&qH=2540d50c190374b3,"₹28,990",20% off
HP 15 Ryzen 3 Dual Core - (4 GB/1 TB HDD/Windows 10 Home) 15-db0186AU Laptop,/hp-15-ryzen-3-dual-core-4-gb-1-tb-hdd-windows-10-home-15-db0186au-laptop/p/itmfb2amrhgs6cye?pid=COMFB2AGGMZVEWNQ&srno=s_1_24&otracker=search&otracker1=search&lid=LSTCOMFB2AGGMZVEWNQEPBRMN&fm=organic&iid=3bba3ea0-237e-4013-8229-d8495327c92d.COMFB2AGGMZVEWNQ.SEARCH&ssid=2b9mi4bjps0000001574236587185&qH=2540d50c190374b3,"₹29,390",22% off
